GradReqID,ProgramID,CourseCode
1,CPSC_MAJ,CPSC231
2,CPSC_MAJ,CPSC233
3,CPSC_MAJ,CPSC217
4,CPSC_MAJ,CPSC219
5,CPSC_MAJ,CPSC235
6,CPSC_MAJ,CPSC251
7,CPSC_MAJ,CPSC331
8,CPSC_MAJ,CPSC355
9,CPSC_MAJ,CPSC441
10,CPSC_MAJ,CPSC449
11,CPSC_MAJ,CPSC481
12,CPSC_MAJ,SENG300
13,CPSC_MAJ,MATH211
14,CPSC_MAJ,MATH213
15,CPSC_MAJ,MATH249
16,CPSC_MAJ,MATH265
17,CPSC_MAJ,MATH275
18,CPSC_MAJ,PHIL279
19,CPSC_MAJ,PHIL377
20,CPSC_MAJ,PHIL379
21,CPSC_MAJ,PHIL314
22,CPSC_MIN,CPSC217
23,CPSC_MIN,CPSC219
24,CPSC_MIN,CPSC231
25,CPSC_MIN,CPSC233
26,CPSC_MIN,CPSC235
27,CPSC_MIN,CPSC319
28,CPSC_MIN,CPSC331
29,DATA_MAJ,DATA221
30,DATA_MAJ,DATA305
31,DATA_MAJ,DATA335
32,DATA_MAJ,DATA414
33,DATA_MAJ,DATA433
34,DATA_MAJ,DATA443
35,DATA_MAJ,DATA471
36,DATA_MAJ,DATA479
37,DATA_MAJ,DATA501
38,DATA_MAJ,DATA543
39,DATA_MAJ,STAT207
40,DATA_MAJ,MATH211
41,DATA_MAJ,CPSC217
42,DATA_MAJ,CPSC219
43,DATA_MAJ,CPSC319
44,DATA_MAJ,CPSC583
45,DATA_MAJ,MATH249
46,DATA_MAJ,MATH265
47,DATA_MAJ,MATH267
48,DATA_MAJ,MATH271
49,DATA_MAJ,MATH273
50,DATA_MAJ,MATH311
