CourseCode,PrerequisiteCode
CPSC219,CPSC217
CPSC231,CPSC231
CPSC233,CPSC231
CPSC251,CPSC219
CPSC251,CPSC231
CPSC313,MATH271
CPSC313,MATH273
CPSC313,PHIL279
CPSC313,PHIL377
CPSC313,CPSC219
CPSC313,CPSC233
CPSC313,CPSC235
CPSC319,CPSC219
CPSC319,CPSC233
CPSC319,CPSC235
CPSC335,CPSC319
CPSC335,CPSC331
CPSC351,CPSC219
CPSC351,CPSC233
CPSC351,CPSC235
CPSC351,MATH249
CPSC351,MATH265
CPSC351,MATH275
CPSC351,PHIL279
CPSC351,PHIL377
CPSC351,CPSC251
CPSC351,STAT213
CPSC351,MATH271
CPSC351,MATH273
CPSC355,CPSC219
CPSC355,CPSC233
CPSC355,CPSC235
CPSC359,CPSC355
CPSC359,PHIL279
CPSC359,PHIL377
CPSC365,CPSC319
CPSC365,CPSC331
CPSC365,CPSC355
CPSC383,CPSC217
CPSC383,CPSC231
CPSC393,CPSC219
CPSC393,CPSC233
CPSC393,DATA311
DATA305,DATA201
DATA305,DATA221
DATA305,DATA211
DATA305,CPSC217
DATA305,CPSC231
DATA305,CPSC235
DATA305,STAT207
DATA305,STAT327
DATA305,PSYC300
DATA211,DATA201
DATA501,DATA311
DATA501,CPSC471
DATA501,DATA305
DATA501,STAT323
DATA335,DATA305
DATA221,CPSC217
DATA221,CPSC231
DATA543,DATA443
DATA414,DATA221
DATA433,CPSC217
DATA433,MATH267
DATA433,MATH311
DATA471,DATA221
DATA471,CPSC319
PHYS229,PHYS211
PHYS229,PHYS221
PHYS229,PHYS227
PHYS229,MATH249
PHYS229,MATH265
PHYS229,MATH275
MATH265,MATH30-1
MATH265,MATH212
MATH265,MATH31
MATH275,MATH30-1
MATH275,MATH31
PHIL379,PHIL279
PHIL379,PHIL377
CPSC441,CPSC319
CPSC441,CPSC331
CPSC441,CPSC355
CPSC441,CPEC369
CPSC449,CPSC319
CPSC449,CPSC331
CPSC449,CPSC313
CPSC449,CPSC351
CPSC449,PHIL279
CPSC449,PHIL377
CPSC481,SENG300
CPSC481,SENG301
CPSC481,SENG480
CPSC481,DATA311
SENG300,CPSC219
SENG300,CPSC233
SENG300,CPSC235
CPSC331,CPSC251
CPSC331,MATH271
CPSC331,MATH273
CPSC331,CPSC219
CPSC331,CPSC233
CPSC331,CPSC235
DATA443,DATA305
DATA443,CPSC319
DATA479,DATA471
CPSC583,CPSC319
CPSC583,CPSC331
CPSC583,DATA311
MATH267,MATH249
MATH267,MATH265
MATH267,MATH275
MATH271,MATH211
MATH271,MATH213
MATH311,MATH211
MATH311,MATH213

